iyear,imonth,iday,provstate,city,attacktype1_txt,targtype1_txt,targsubtype1_txt,target1,gname,weaptype1_txt,nkill,nwound,summary,scite1,date
2000,1,1,Jammu and Kashmir,Udhampur,Armed Assault,Police,"Police Building (headquarters, station, school)",The Central Reserve Police Force 68 battalion camp at Umorha Morh in Udhampur,Lashkar-e-Taiba (LeT),Firearms,1.0,2.0,"01/01/2000: Members of Lashkar-e Taiba attacked the Central Reserve Police Force (CRPF) 68 battalion camp at Umorha Morhcamp in Udhampur, killing one and injuring two.","“Lashkar 'Suicide' Squad Attacks Army Camp in Kashmir Town, Protests Reported,” Daily Excelsior (Internet Version-WWW), January 3, 2000.",2000-01-01
2000,1,3,Jammu and Kashmir,Srinagar,Bombing/Explosion,Private Citizens & Property,Marketplace/Plaza/Square,A vegetable market in Srinagar,Unknown,Explosives,18.0,30.0,"01/03/2000: A bomb exploded at a vegetable market in Srinagar, Jammu and Kashmir State. Eighteen people were killed, fourteen civilians and four security personnel, and at lest thirty people were injured in this attack by unknown perpetrators.","Law Kumar Mishra, “Eighteen People Killed in Landmine Blast in Kashmir,” The Times of India (Internet Version), January 4, 2000.",2000-01-03
2000,1,12,Jammu and Kashmir,Khanabal,Armed Assault,Military,Military Barracks/Base/Headquarters/Checkpost,Rashtriya Rifles headquarters in Khannabal,Lashkar-e-Taiba (LeT),Firearms,20.0,,"01/12/2000: Pakistani group Lashkar-e Taiba claimed responsibility for an armed attack with grenades and guns on the Rashtriya Rifles headquarters in Khannabal. Around 15 soldiers were killed, two civilians, and three militants.","“Militants Storm Headquarters of Indian Forces in Kashmir,” All India Radio, January 13, 2000.",2000-01-12
2000,1,16,Jammu and Kashmir,Budgam District,Bombing/Explosion,Utilities,Electricity,Power transmission towers in Kashmir,Lashkar-e-Taiba (LeT),Explosives,0.0,0.0,01/16/2000: Two power transmission towers were blown up and the entire Budgam district in the Jammu and Kashmir state was without power. Lashkar-e Taiba claimed responsibility stating that the government was producing power in Kashmir that wasn’t going to Kashmiris. No injuries reported.,"“Agence France Presse: Militants Blast Transmission Tower in Kashmir,” Agence France Presse, January 16, 2000.",2000-01-16
2000,1,24,Jammu and Kashmir,Srinagar,Armed Assault,Military,Military Barracks/Base/Headquarters/Checkpost,Batmaloo Indian Army camp in Srinagar,Muslim extremists,Explosives,4.0,6.0,01/24/2000: Islamic militants attacked the Batmaloo Indian Army camp in Srinagar with grenades and gunfire. Two soldiers were killed and six soldiers were injured and two militants were killed.,"“Four killed as Muslim militants attack Indian army camp in Kashmir,” Agence France Presse, January 25, 2000.",2000-01-24
2000,1,26,Jammu and Kashmir,Doda,Assassination,Government (General),Politician or Political Party Movement/Meeting/Rally,"Muzaffar Hussain Beig, a congress leader",Unknown,Explosives,0.0,1.0,"01/26/2000: An unsuccessful attempt was made to assassinate Congress leader Muzaffar Hussain Beig. Beig escaped uninjured, though one of his security guards was seriously injured. A grenade was thrown onto Beig’s house in Doda, pierced the roof, and exploded inside the house. No group claimed responsiblity for the attack.","“Kashmir Congress Party Leader Escapes Assassination Bid,” Daily Excelsior (Internet Version-WWW), January 28, 2000.",2000-01-26
2000,1,27,Jammu and Kashmir,Jammu,Bombing/Explosion,Government (General),Politician or Political Party Movement/Meeting/Rally,"Muslim legislator from the National Conference party, Javed Shah",Unknown,Explosives,0.0,0.0,"01/27/2000: At least two rockets were fired at the Jammu home of Muslim legislator from the National Conference party, Javed Shah. The unknown attackers and Shah’s police protection fought a gunfight for a few hours after the attack.","“Bomb, Rocket Attacks Rock Kashmir's Winter Capital Jammu,” Agence France Presse, January 28, 2000.",2000-01-27
2000,1,28,Jammu and Kashmir,Jammu,Bombing/Explosion,Private Citizens & Property,Unnamed Civilian/Unspecified,Residents of Jammu,Unknown,Explosives,0.0,0.0,"01/28/2000: A bomb hidden under a car exploded in downtown Jammu, destroying four cars and breaking the windows of nearby aparments. No group claimed responsibility for this attack.","“Bomb, Rocket Attacks Rock Kashmir's Winter Capital Jammu,” Agence France Presse, January 28, 2000.",2000-01-28
2000,2,8,Jammu and Kashmir,Gaichta-Dudsunbala,Armed Assault,Military,"Military Personnel (soldiers, troops, officers, forces)","Indian Army soldiers in Gaichta-Dudsunbala, India",Unknown,Firearms,4.0,,"02/08/2000: Unidentified assailants attacked the Indian Army soldiers in Gaichta-Dudsunbala, India. Four of the attackers were killed in subsequent fighting between the soldiers and the militants.","“Security Forces Kill Four Kashmiri Militants in Encounter,” Jammu Daily Excelsior, February 09, 2000.",2000-02-08
2000,2,10,Jammu and Kashmir,Souch Palpora,Armed Assault,Police,Police Security Forces/Officers,"Civilian special police, including Ghulam Mohammed Reshi and his daughter, who were aiding counter-insurgency efforts",Guerrillas,Firearms,6.0,0.0,"2/10/2000: Suspected separatist guerrillas entered a house and opened fire in Palpora, Jammu and Kashmir, India. Six people were killed in the incident, including two civilian special police officers who were aiding counter-insurgency efforts. One of the officers is identified as Ghulam Mohammed Reshi; the other is his daughter. No group has claimed responsibility for the attack.","""Violence flares in India-held Kashmir,"" The Washington Times, February 12, 2000.",2000-02-10
